anio,femenino,masculino
1922,15892,7771
1923,19963,10326
1924,25354,13716
1925,31025,17299
1926,36791,21554
1927,44500,26674
1928,52784,32859
1929,60450,38335
1930,70030,45918
1931,74762,51673
1932,83355,59484
1933,87110,62883
1934,92950,69696
1935,104285,79268
1936,110405,85369
1937,117899,93577
1938,128268,103137
1939,140435,114391
1940,154478,128688
1941,160794,134948
1942,159768,135631
1943,185754,158558
1944,197837,174350
1945,213021,191725
1946,217526,198739
1947,228860,209699
1948,241812,222944
1949,246641,229600
1950,263541,242303
1951,260751,238296
1952,262307,241637
1953,268947,248669
1954,273716,253585
1955,278951,261544
1956,283154,272525
1957,281509,278043
1958,284438,278907
1959,287297,284072
1960,291704,291307
1961,298178,298488
1962,307390,314701
1963,309184,311114
1964,312023,313948
1965,314480,318068
1966,311653,315537
1967,317415,321972
1968,321287,329850
1969,335500,346604
1970,352191,364374
1971,371769,386333
1972,378397,395923
1973,385340,403637
1974,405292,424523
1975,429041,457802
1976,437711,457837
1977,465646,489660
1978,475011,504848
1979,494306,525589
1980,462966,498596
1981,490630,529878
1982,497803,538707
1983,474487,518458
1984,482424,528336
1985,504251,552298
1986,523909,577890
1987,520600,577127
1988,527806,590733
1989,524172,592581
1990,546644,621076
1991,581271,664311
1992,584662,672592
1993,630917,720063
1994,611734,715841
1995,559196,668866
1996,510333,622184
1997,413722,524244
1998,425781,525759
1999,384427,482384
2000,374957,468095
2001,354195,436441
2002,328483,418149
2003,353600,451962
2004,365551,465202
2005,345375,438926
2006,333193,416482
2007,315202,391547
2008,314254,381305
2009,258411,324176
2010,249572,295817
2011,206757,243011
2012,433570,515752
2013,410476,488324
2014,404568,474832
2015,366686,424545
