nombre_apellido;nombre;puesto;anio
Abel Balbo;Abel;Delantero;1990
Abel Balbo;Abel;Delantero;1994
Abel Balbo;Abel;Delantero;1998
Adolfo Bernabé Zumelzu;Adolfo Bernabé;Defensor;1930
Agustin Ignacio Orion;Agustín Ignacio;Arquero;2014
Alberto Chividini;Alberto;Defensor;1930
Alberto Luis Galateo;Alberto Luis;Delantero;1934
Alberto Mario Gonzalez;Alberto Mario;Delantero;1962
Alberto Mario Gonzalez;Alberto Mario;Delantero;1966
Alberto Mariotti;Alberto;Defensor;1962
Alberto Sainz;Alberto;Defensor;1962
Alberto César Tarantini;Alberto César;Defensor;1978
Alberto César Tarantini;Alberto César;Defensor;1982
Aldo Pedro Poy;Aldo Pedro;Delantero;1974
Alejandro Víctor Mancuso;Alejandro Víctor;Mediocampista;1994
Alejandro Scopelli;Alejandro;Delantero;1930
Alfonso Lorenzo;Alfonso;Mediocampista;1934
Alfredo De Vincenzi;Alfredo;Delantero;1934
Alfredo Ricardo Perez;Alfredo Ricardo;Mediocampista;1958
Alfredo Hugo Rojas;Alfredo Hugo;Delantero;1958
Alfredo Hugo Rojas;Alfredo Hugo;Delantero;1966
Amadeo Carrizo;Amadeo;Arquero;1958
Américo Gallego;Américo;Mediocampista;1978
Américo Gallego;Américo;Mediocampista;1982
Angel Hugo Bargas;Ángel Hugo;Defensor;1974
Angel Bossio;Ángel;Arquero;1930
Angel Comizzo;Ángel;Arquero;1990
Angel Fabián Di Maria;Angel Fabián;Mediocampista;2010
Angel Fabián Di Maria;Angel Fabián;Mediocampista;2014
Angel Grippa;Ángel;Arquero;1934
Angel Amadeo Labruna;Ángel Amadeo;Delantero;1958
Anibal Roberto Tarabini;Aníbal Roberto;Delantero;1966
Antonio Ubaldo Rattin;Antonio Ubaldo;Mediocampista;1962
Antonio Ubaldo Rattin;Antonio Ubaldo;Mediocampista;1966
Antonio Roma;Antonio;Arquero;1962
Antonio Roma;Antonio;Arquero;1966
Arcadio Lopez;Arcadio;Mediocampista;1934
Ariel Garce;Ariel;Defensor;2010
Ariel Ortega;Ariel;Delantero;1994
Ariel Ortega;Ariel;Delantero;1998
Ariel Ortega;Ariel;Mediocampista;2002
Atilio Demaria;Atilio;Delantero;1930
Augustin Alberto Balbuena;Agustín Alberto;Delantero;1974
Augusto Fernández;Augusto;Mediocampista;2014
Carlos Alberto Babington;Carlos Alberto;Delantero;1974
Carlos Peucelle;Carlos;Delantero;1930
Carlos Ángel Roa;Carlos Ángel;Arquero;1998
Carlos Spadaro;Carlos;Delantero;1930
Carlos Vicente Squeo;Carlos Vicente;Defensor;1974
Carlos Daniel Tapia;Carlos Daniel;Mediocampista;1986
Carlos Alberto Tevez;Carlos Alberto;Delantero;2006
Carlos Alberto Tevez;Carlos Alberto;Delantero;2010
Carmelo Simeone;Carmelo;Mediocampista;1966
Claudio Daniel Borghi;Claudio Daniel;Mediocampista;1986
Claudio Paul Caniggia;Claudio Paul;Delantero;1990
Claudio Paul Caniggia;Claudio Paul;Delantero;1994
Claudio Paul Caniggia;Claudio Paul;Delantero;2002
Claudio Daniel Husain;Claudio Daniel;Mediocampista;2002
Claudio Javier Lopez;Claudio Javier;Delantero;1998
Claudio Javier Lopez;Claudio Javier;Delantero;2002
Clemente Juan Rodriguez;Clemente Juan;Defensor;2010
Costantino Urbieta Sosa;Costantino;Mediocampista;1934
Cristian Alberto Gonzalez;Cristian Alberto;Delantero;2002
Ricardo Daniel Bertoni;Ricardo Daniel;Delantero;1978
Ricardo Daniel Bertoni;Ricardo Daniel;Delantero;1982
Daniel Alberto Carnevali;Daniel Alberto;Arquero;1974
Daniel Pedro Killer;Daniel Pedro;Defensor;1978
Daniel Alberto Passarella;Daniel Alberto;Defensor;1978
Daniel Alberto Passarella;Daniel Alberto;Defensor;1982
Daniel Alberto Passarella;Daniel Alberto;Defensor;1986
David Acevedo;David;Defensor;1958
Diego Armando Maradona;Diego Armando;Mediocampista;1982
Diego Armando Maradona;Diego Armando;Mediocampista;1986
Diego Armando Maradona;Diego Armando;Mediocampista;1990
Diego Armando Maradona;Diego Armando;Mediocampista;1994
Diego Alberto Milito;Diego Alberto;Delantero;2010
Diego Rodolfo Placente;Diego Rodolfo;Defensor;2002
Diego Pozo;Diego;Arquero;2010
Diego Pablo Simeone;Diego Pablo;Mediocampista;1994
Diego Pablo Simeone;Diego Pablo;Mediocampista;1998
Diego Pablo Simeone;Diego Pablo;Mediocampista;2002
Edgardo Bauza;Edgardo;Defensor;1990
Edmundo Piaggio;Edmundo;Mediocampista;1930
Eliseo Mourino;Eliseo;Mediocampista;1958
Eliseo Prado;Eliseo;Delantero;1958
Enrique Chazarreta;Enrique;Mediocampista;1974
Enrique Chimento;Enrique;Defensor;1934
Enrique Ernesto Wolff;Enrique Ernesto;Defensor;1974
Enzo Nicolás Pérez;Enzo Nicolás;Mediocampista;2014
Enzo Héctor Trossero;Enzo Héctor;Defensor;1982
Ermindo Ángel Onega;Ermindo Ángel;Delantero;1966
Ernesto Oscar Albarracin;Ernesto Oscar;Mediocampista;1934
Ernesto Antonio Belis;Ernesto Antonio;Defensor;1934
Esteban Matías Cambiasso;Esteban Matías;Mediocampista;2006
Ezequiel Garay;Ezequiel;Defensor;2014
Ezequiel Iván Lavezzi;Ezequiel Iván;Delantero;2014
Fabian Oscar Cancelarich;Fabián Oscar;Arquero;1990
Fabricio Tomás Coloccini;Fabricio Tomás;Defensor;2006
Federico Roberto Edwards;Federico Roberto;Defensor;1958
Federico Fernández;Federico;Defensor;2014
Federico Sacchi;Federico;Mediocampista;1962
Federico Vairo;Federico;Defensor;1958
Federico Wilde;Federico;Delantero;1934
Fernando Gabriel Caceres;Fernando Gabriel;Defensor;1994
Fernando Gago;Fernando;Mediocampista;2014
Fernando Paternoster;Fernando;Defensor;1930
Fernando Carlos Redondo;Fernando Carlos;Mediocampista;1994
Francisco Lombardo;Francisco;Defensor;1958
Francisco Rua;Francisco;Delantero;1934
Francisco Sa;Francisco;Defensor;1974
Francisco Antonio Varallo;Francisco Antonio;Delantero;1930
Gabriel Omar Batistuta;Gabriel Omar;Delantero;1994
Gabriel Omar Batistuta;Gabriel Omar;Delantero;1998
Gabriel Omar Batistuta;Gabriel Omar;Delantero;2002
Gabriel Humberto Calderon;Gabriel Humberto;Delantero;1982
Gabriel Humberto Calderon;Gabriel Humberto;Mediocampista;1990
Gabriel Iván Heinze;Gabriel Iván;Defensor;2006
Gabriel Iván Heinze;Gabriel Iván;Defensor;2010
